timestamp,avg_response_time_ms,95th_percentile_ms,avg_response_time_this_sec_ms,request_count
2025-04-23 00:39:47,53.09,73.4,70.17,15
2025-04-23 00:39:48,50.63,78.65,29.49,20
2025-04-23 00:39:49,45.04,79.74,48.86,27
2025-04-23 00:39:50,45.06,83.74,33.37,27
2025-04-23 00:39:51,40.4,82.42,21.58,40
2025-04-23 00:39:52,35.01,81.32,15.2,41
2025-04-23 00:39:53,30.64,79.67,14.64,43
2025-04-23 00:39:54,27.5,77.69,12.0,48
2025-04-23 00:39:55,25.59,78.13,21.49,61
2025-04-23 00:39:56,24.24,78.76,17.31,63
2025-04-23 00:39:57,23.17,77.01,14.5,74
2025-04-23 00:39:58,22.03,74.86,20.75,71
2025-04-23 00:39:59,21.45,73.33,16.51,99
2025-04-23 00:40:00,20.8,70.35,7.59,80
2025-04-23 00:40:01,19.21,65.13,3.61,71
2025-04-23 00:40:02,20.01,72.06,33.74,82
2025-04-23 00:40:03,19.13,73.47,3.75,93
2025-04-23 00:40:04,17.93,71.75,5.67,76
2025-04-23 00:40:05,17.09,68.72,4.62,69
2025-04-23 00:40:06,16.73,64.82,25.54,132
2025-04-23 00:40:07,17.85,72.54,34.83,123
2025-04-23 00:40:08,19.29,75.79,34.32,135
2025-04-23 00:40:09,20.05,78.06,13.69,124
2025-04-23 00:40:10,19.73,76.96,14.22,137
2025-04-23 00:40:11,19.0,75.57,4.03,132
2025-04-23 00:40:12,18.34,75.0,11.87,126
2025-04-23 00:40:13,17.59,74.12,4.0,138
2025-04-23 00:40:14,17.07,74.0,13.04,125
2025-04-23 00:40:15,16.59,73.27,3.63,124
2025-04-23 00:40:16,16.01,72.6,8.85,151
2025-04-23 00:40:17,15.54,72.0,4.96,133
2025-04-23 00:40:18,15.14,70.79,8.05,117
2025-04-23 00:40:19,14.75,69.88,4.57,124
2025-04-23 00:40:20,14.42,68.98,7.92,107
2025-04-23 00:40:21,14.11,67.47,4.72,123
2025-04-23 00:40:22,13.82,66.71,6.68,105
2025-04-23 00:40:23,13.56,65.29,4.21,104
2025-04-23 00:40:24,13.34,64.43,9.16,107
2025-04-23 00:40:25,13.15,63.38,3.74,100
2025-04-23 00:40:26,12.9,61.75,6.03,102
2025-04-23 00:40:27,12.72,59.69,4.05,83
2025-04-23 00:40:28,12.55,58.42,6.02,81
2025-04-23 00:40:29,12.41,58.0,4.86,68
2025-04-23 00:40:30,12.38,57.3,19.22,82
2025-04-23 00:40:31,12.44,57.0,4.17,57
2025-04-23 00:40:32,12.34,56.41,9.51,63
2025-04-23 00:40:33,12.28,56.0,5.2,69
2025-04-23 00:40:34,12.16,56.0,6.45,65
2025-04-23 00:40:35,12.07,55.47,3.85,62
2025-04-23 00:40:36,11.96,55.0,5.21,64
2025-04-23 00:40:37,11.85,55.0,3.36,61
2025-04-23 00:40:38,11.74,54.66,4.62,64
2025-04-23 00:40:39,11.64,54.0,4.71,51
2025-04-23 00:40:40,11.57,54.0,7.18,52
2025-04-23 00:40:41,11.51,53.76,4.23,72
2025-04-23 00:40:42,11.43,53.0,5.54,32
2025-04-23 00:40:43,11.38,53.0,3.78,36
2025-04-23 00:40:44,11.31,53.0,4.12,43
2025-04-23 00:40:45,11.25,53.0,3.86,43
2025-04-23 00:40:46,11.28,53.48,32.84,52
2025-04-23 00:40:47,11.47,54.63,19.94,59
2025-04-23 00:40:48,11.6,54.54,36.2,74
2025-04-23 00:40:49,11.91,56.0,17.96,68
2025-04-23 00:40:50,12.05,56.62,33.75,77
2025-04-23 00:40:51,12.31,58.21,16.77,92
2025-04-23 00:40:52,12.34,58.0,6.99,87
2025-04-23 00:40:53,12.26,57.0,4.43,74
2025-04-23 00:40:54,12.14,56.81,4.34,81
2025-04-23 00:40:55,12.03,56.0,4.94,95
2025-04-23 00:40:56,11.92,56.0,6.86,89
2025-04-23 00:40:57,11.85,55.66,4.41,62
2025-04-23 00:40:58,11.76,55.0,4.83,71
2025-04-23 00:40:59,11.69,55.0,5.91,80
2025-04-23 00:41:00,11.62,55.0,8.79,48
2025-04-23 00:41:01,11.58,54.34,4.44,58
2025-04-23 00:41:02,11.52,54.0,6.58,51
2025-04-23 00:41:03,11.48,54.0,5.57,54
2025-04-23 00:41:04,11.43,54.0,3.72,40
2025-04-23 00:41:05,11.37,53.3,3.73,57
2025-04-23 00:41:06,11.51,54.18,64.55,84
2025-04-23 00:41:07,12.14,58.55,45.62,93
2025-04-23 00:41:08,12.61,64.15,36.43,104
2025-04-23 00:41:09,12.99,67.23,34.79,103
2025-04-23 00:41:10,13.21,68.02,15.9,82
2025-04-23 00:41:11,14.6,72.59,74.44,204
2025-04-23 00:41:12,15.05,74.0,13.26,122
2025-04-23 00:41:13,15.01,73.68,6.52,130
2025-04-23 00:41:14,14.83,73.0,5.5,122
2025-04-23 00:41:15,14.69,73.0,5.59,128
2025-04-23 00:41:16,14.53,73.0,7.44,128
2025-04-23 00:41:17,14.41,72.14,7.87,143
2025-04-23 00:41:18,14.27,72.0,5.61,126
2025-04-23 00:41:19,14.18,71.87,7.71,127
2025-04-23 00:41:20,14.06,71.0,8.78,132
2025-04-23 00:41:21,14.01,70.5,10.81,144
2025-04-23 00:41:22,13.9,70.0,6.76,135
2025-04-23 00:41:23,13.83,69.61,9.43,120
2025-04-23 00:41:24,13.71,69.0,5.12,137
2025-04-23 00:41:25,13.6,68.61,5.98,124
2025-04-23 00:41:26,13.47,67.82,6.97,136
2025-04-23 00:41:27,13.41,67.0,7.74,108
2025-04-23 00:41:28,13.3,67.0,4.45,119
2025-04-23 00:41:29,13.24,66.62,8.61,111
2025-04-23 00:41:30,13.15,66.0,9.58,114
2025-04-23 00:41:31,13.13,65.38,8.33,116
2025-04-23 00:41:33,13.04,65.0,16.07,123
2025-04-23 00:41:34,12.96,64.54,4.16,108
2025-04-23 00:41:35,12.88,64.0,5.93,100
2025-04-23 00:41:36,12.82,64.15,26.98,144
2025-04-23 00:41:37,13.32,66.94,31.35,154
2025-04-23 00:41:38,13.27,66.84,4.08,133
2025-04-23 00:41:39,13.21,66.0,12.98,124
2025-04-23 00:41:40,13.2,65.56,15.33,133
2025-04-23 00:41:41,13.33,65.97,22.09,138
2025-04-23 00:41:42,13.31,65.18,7.1,135
2025-04-23 00:41:43,13.32,65.0,19.05,125
2025-04-23 00:41:44,13.31,64.44,7.64,146
2025-04-23 00:41:45,13.26,64.0,14.23,125
2025-04-23 00:41:46,13.25,63.67,7.25,138
2025-04-23 00:41:47,13.19,63.0,12.55,116
2025-04-23 00:41:48,13.16,63.0,6.15,120
2025-04-23 00:41:49,13.12,62.3,11.18,130
2025-04-23 00:41:50,13.06,62.0,6.06,112
2025-04-23 00:41:51,13.02,61.18,8.48,95
2025-04-23 00:41:52,12.95,60.02,5.24,114
2025-04-23 00:41:53,12.93,60.0,17.55,84
2025-04-23 00:41:54,12.98,60.0,23.88,90
2025-04-23 00:41:55,13.02,59.85,10.7,87
2025-04-23 00:41:56,13.03,59.02,19.16,87
2025-04-23 00:41:57,13.2,60.99,43.46,104
2025-04-23 00:41:58,13.54,63.93,36.96,126
2025-04-23 00:41:59,13.53,64.0,12.07,80
2025-04-23 00:42:00,13.5,64.0,4.79,111
2025-04-23 00:42:01,13.46,63.35,11.48,113
2025-04-23 00:42:02,13.42,63.0,4.31,82
2025-04-23 00:42:03,13.36,63.0,9.06,93
2025-04-23 00:42:04,13.32,63.0,4.37,108
2025-04-23 00:42:05,13.25,62.03,6.58,99
2025-04-23 00:42:06,13.2,62.0,11.66,100
2025-04-23 00:42:07,13.56,64.6,52.35,147
2025-04-23 00:42:08,13.62,65.0,5.32,91
2025-04-23 00:42:09,13.57,64.22,9.39,116
2025-04-23 00:42:10,13.57,64.0,11.86,113
2025-04-23 00:42:11,13.51,64.0,8.06,112
2025-04-23 00:42:12,13.49,63.34,9.16,131
2025-04-23 00:42:13,13.43,63.0,12.53,129
